Date,Open,High,Low,Close,Adj Close,Volume
2013-03-04,14618.400390625,14625.349609375,14374.650390625,14580.599609375,14580.599609375,16796000
2013-03-05,14624.150390625,14773.2001953125,14573.0,14703.099609375,14703.099609375,20593000
2013-03-06,14796.9501953125,14796.9501953125,14493.400390625,14516.2001953125,14516.2001953125,20506000
2013-03-07,14481.4501953125,14707.599609375,14447.7001953125,14645.150390625,14645.150390625,20295000
2013-03-08,14712.7998046875,14930.5498046875,14671.75,14891.25,14891.25,18868000
2013-03-11,14900.7998046875,14995.9501953125,14881.900390625,14915.599609375,14915.599609375,12744000
2013-03-12,14902.2001953125,15023.25,14869.349609375,14981.2001953125,14981.2001953125,13051000
2013-03-13,14954.75,15112.400390625,14954.75,15052.150390625,15052.150390625,16887000
2013-03-14,15048.7001953125,15176.150390625,14980.7001953125,15117.099609375,15117.099609375,16810000
2013-03-15,15131.4501953125,15196.349609375,15101.7998046875,15127.2998046875,15127.2998046875,21859000
2013-03-18,15077.0,15270.7001953125,15077.0,15245.7998046875,15245.7998046875,12775000
2013-03-19,15342.75,15342.75,15139.2001953125,15200.650390625,15200.650390625,22825000
2013-03-20,15163.849609375,15292.5498046875,15163.849609375,15257.25,15257.25,20072000
2013-03-21,15259.75,15304.599609375,15120.9501953125,15145.349609375,15145.349609375,20812000
2013-03-22,15188.7001953125,15202.5,15097.400390625,15128.0498046875,15128.0498046875,13018000
2013-03-25,15165.150390625,15241.7998046875,15028.4501953125,15054.150390625,15054.150390625,15855000
2013-03-26,15078.0498046875,15264.25,15052.7001953125,15240.2001953125,15240.2001953125,13762000
2013-03-28,15269.349609375,15355.400390625,15147.75,15321.900390625,15321.900390625,23451000
2013-04-01,15310.2998046875,15354.650390625,15254.900390625,15323.75,15323.75,8951000
2013-04-02,15297.150390625,15363.4501953125,15210.25,15321.900390625,15321.900390625,12455000
2013-04-03,15282.0498046875,15335.9501953125,15201.7998046875,15289.75,15289.75,14365000
2013-04-04,15239.2001953125,15281.900390625,15018.4501953125,15051.2998046875,15051.2998046875,11429000
2013-04-05,15042.099609375,15042.099609375,14781.099609375,14826.599609375,14826.599609375,18733000
2013-04-08,14852.349609375,14977.9501953125,14704.5498046875,14945.599609375,14945.599609375,13673000
2013-04-09,14980.7998046875,15060.099609375,14662.5,14717.5,14717.5,15520000
2013-04-10,14839.349609375,14839.349609375,14481.650390625,14634.25,14634.25,16513000
2013-04-11,14752.2001953125,14785.2001953125,14611.900390625,14697.349609375,14697.349609375,18488000
2013-04-12,14732.849609375,15053.4501953125,14716.900390625,14977.75,14977.75,15613000
2013-04-15,14968.5,15186.099609375,14868.0,15162.0498046875,15162.0498046875,15641000
2013-04-16,15140.2998046875,15473.7001953125,15099.400390625,15455.7001953125,15455.7001953125,15868000
2013-04-17,15435.0498046875,15707.25,15435.0498046875,15649.599609375,15649.599609375,23066000
2013-04-18,15593.4501953125,15777.5498046875,15571.4501953125,15710.349609375,15710.349609375,21088000
2013-04-22,15680.2001953125,15805.5498046875,15673.5498046875,15788.650390625,15788.650390625,12892000
2013-04-23,15799.849609375,15799.849609375,15682.400390625,15769.099609375,15769.099609375,9190000
2013-04-25,15731.5498046875,15926.2998046875,15686.9501953125,15861.650390625,15861.650390625,24203000
2013-04-26,15779.849609375,15846.2998046875,15693.7001953125,15751.099609375,15751.099609375,15868000
2013-04-29,15724.7001953125,16141.099609375,15721.25,16115.2998046875,16115.2998046875,22780000
2013-04-30,16458.44921875,17050.19921875,16458.44921875,16815.94921875,16815.94921875,44984000
2013-05-02,16769.400390625,17037.30078125,16718.150390625,16988.400390625,16988.400390625,24936000
2013-05-03,16967.30078125,16985.69921875,16846.94921875,16903.650390625,16903.650390625,19472000
2013-05-06,16868.150390625,16943.599609375,16741.55078125,16779.55078125,16779.55078125,11529000
2013-05-07,16792.30078125,17146.19921875,16792.30078125,17119.599609375,17119.599609375,16720000
2013-05-08,17158.599609375,17395.94921875,17116.900390625,17337.25,17337.25,15076000
2013-05-09,17384.25,17436.5,17307.19921875,17347.19921875,17347.19921875,14697000
2013-05-10,17322.400390625,17653.849609375,17281.650390625,17625.849609375,17625.849609375,15961000
2013-05-13,17659.19921875,17659.19921875,17099.19921875,17133.75,17133.75,19824000
2013-05-14,17216.349609375,17263.94921875,17064.44921875,17124.5,17124.5,15059000
2013-05-15,17201.599609375,17429.55078125,17147.19921875,17380.30078125,17380.30078125,20481000
2013-05-16,17316.05078125,17424.349609375,17079.599609375,17233.099609375,17233.099609375,17499000
2013-05-17,17275.099609375,17404.44921875,17166.44921875,17236.900390625,17236.900390625,26833000
2013-05-20,17240.400390625,17450.849609375,17128.0,17152.849609375,17152.849609375,15067000
2013-05-21,17136.80078125,17194.349609375,16990.599609375,17057.75,17057.75,12557000
2013-05-22,17015.69921875,17265.349609375,17015.69921875,17220.349609375,17220.349609375,16568000
